NUMERONODI 50
NUMEROARCHI 1225
KMASSIMO 3

Soluzione iniziale:
Arco n 36, nodi 1-37, costo 12
Arco n 42, nodi 1-43, costo 11
Arco n 49, nodi 1-50, costo 53
Arco n 81, nodi 2-34, costo 29
Arco n 85, nodi 2-38, costo 56
Arco n 88, nodi 2-41, costo 76
Arco n 127, nodi 3-33, costo 55
Arco n 130, nodi 3-36, costo 52
Arco n 172, nodi 4-32, costo 36
Arco n 176, nodi 4-36, costo 21
Arco n 199, nodi 5-14, costo 13
Arco n 222, nodi 5-37, costo 87
Arco n 232, nodi 5-47, costo 81
Arco n 268, nodi 6-39, costo 51
Arco n 271, nodi 6-42, costo 57
Arco n 274, nodi 6-45, costo 89
Arco n 310, nodi 7-38, costo 12
Arco n 316, nodi 7-44, costo 23
Arco n 320, nodi 7-48, costo 29
Arco n 332, nodi 8-18, costo 82
Arco n 339, nodi 8-25, costo 86
Arco n 352, nodi 8-38, costo 58
Arco n 395, nodi 9-40, costo 33
Arco n 430, nodi 10-35, costo 86
Arco n 434, nodi 10-39, costo 60
Arco n 477, nodi 11-43, costo 43
Arco n 512, nodi 12-40, costo 20
Arco n 552, nodi 13-43, costo 50
Arco n 627, nodi 15-47, costo 81
Arco n 656, nodi 16-42, costo 88
Arco n 689, nodi 17-42, costo 13
Arco n 741, nodi 19-31, costo 13
Arco n 751, nodi 19-41, costo 89
Arco n 787, nodi 20-47, costo 8
Arco n 810, nodi 21-41, costo 48
Arco n 842, nodi 22-45, costo 12
Arco n 868, nodi 23-44, costo 34
Arco n 894, nodi 24-44, costo 64
Arco n 947, nodi 26-48, costo 30
Arco n 970, nodi 27-48, costo 89
Arco n 989, nodi 28-45, costo 68
Arco n 1015, nodi 29-50, costo 40
Arco n 1035, nodi 30-50, costo 7
Arco n 1101, nodi 34-46, costo 18
Arco n 1104, nodi 34-49, costo 51
Arco n 1130, nodi 36-46, costo 15
Arco n 1143, nodi 37-46, costo 49
Arco n 1169, nodi 39-49, costo 8
Arco n 1179, nodi 40-49, costo 96
Costo spanning tree: 2282

Iterazione 1:
Aggiunto arco 521 e rimosso arco 1179.
Arco n 36, nodi 1-37, costo 12
Arco n 42, nodi 1-43, costo 11
Arco n 49, nodi 1-50, costo 53
Arco n 81, nodi 2-34, costo 29
Arco n 85, nodi 2-38, costo 56
Arco n 88, nodi 2-41, costo 76
Arco n 127, nodi 3-33, costo 55
Arco n 130, nodi 3-36, costo 52
Arco n 172, nodi 4-32, costo 36
Arco n 176, nodi 4-36, costo 21
Arco n 199, nodi 5-14, costo 13
Arco n 222, nodi 5-37, costo 87
Arco n 232, nodi 5-47, costo 81
Arco n 268, nodi 6-39, costo 51
Arco n 271, nodi 6-42, costo 57
Arco n 274, nodi 6-45, costo 89
Arco n 310, nodi 7-38, costo 12
Arco n 316, nodi 7-44, costo 23
Arco n 320, nodi 7-48, costo 29
Arco n 332, nodi 8-18, costo 82
Arco n 339, nodi 8-25, costo 86
Arco n 352, nodi 8-38, costo 58
Arco n 395, nodi 9-40, costo 33
Arco n 430, nodi 10-35, costo 86
Arco n 434, nodi 10-39, costo 60
Arco n 477, nodi 11-43, costo 43
Arco n 512, nodi 12-40, costo 20
Arco n 521, nodi 12-49, costo 0
Arco n 552, nodi 13-43, costo 50
Arco n 627, nodi 15-47, costo 81
